Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Max Depth,Bottom Time,Min Water Temp,Gas Type,Surface Interval,Decompression,Weight,Current,Surface Conditions,Water Type
running,2018-04-10 08:02:58,false,"San Francisco Running","4.43","479","25:37","--","--","0.0","180","207","5:47","4:16","86","83","1.51","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-10 07:14:16,false,"San Francisco Running","3.00","350","20:37","--","--","0.0","182","209","6:52","5:36","47","219","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-09 17:44:30,false,"San Francisco Running","6.62","783","44:52","--","--","0.0","181","204","6:47","2:37","177","205","1.31","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-09 07:16:15,false,"San Francisco Running","4.77","557","32:01","--","--","0.0","182","198","6:42","5:03","186","220","1.32","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-07 08:23:06,false,"San Francisco Running","13.57","1,588","1:29:12","--","--","0.0","183","204","6:34","3:50","361","390","1.34","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-06 08:58:18,false,"San Francisco Running","1.54","183","12:31","--","--","0.0","176","198","8:08","3:46","36","36","1.13","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-06 08:19:53,false,"San Francisco Running","3.64","349","28:42","--","--","0.0","142","245","7:53","3:26","32","35","1.35","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-06 07:22:24,false,"San Francisco Running","4.59","533","28:55","--","--","0.0","185","200","6:18","4:16","152","312","1.39","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-05 18:04:35,false,"San Francisco Running","4.35","512","29:57","--","--","0.0","182","196","6:53","3:01","88","91","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-05 07:35:53,false,"San Francisco Running","6.90","815","46:39","--","--","0.0","184","200","6:45","2:48","288","316","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-04 16:21:37,false,"San Francisco Running","8.02","944","54:03","--","--","0.0","185","236","6:44","1:37","275","307","1.29","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-03 08:16:32,false,"San Francisco Running","2.78","326","20:08","--","--","0.0","179","196","7:14","6:36","43","23","1.24","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-03 07:46:29,false,"San Francisco Running","3.58","360","23:42","--","--","0.0","152","219","6:37","4:00","13","13","1.49","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-03 07:11:01,false,"San Francisco Running","2.61","311","18:35","--","--","0.0","179","195","7:08","1:26","47","73","1.26","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-02 16:55:03,false,"San Francisco Running","5.36","631","36:55","--","--","0.0","179","198","6:54","3:56","120","143","1.30","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
running,2018-04-02 07:28:00,false,"San Francisco Running","6.62","760","43:19","--","--","0.0","181","221","6:33","2:59","150","185","1.36","0.0","0.0","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","0:00","0.0","--","0:00","No","--","--","--","--"
